Название вакансии,Компания,Зарплата,Ссылка
"Программист-разработчик по нейросетям, обработка данных, сбор датасета",UFATECH,45 000 – 60 000 ₽ на руки,https://ufa.hh.ru/vacancy/103700665?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Стажер-программист 1С,Группа Компаний Inspectrum Clinic,Не указана,https://ufa.hh.ru/vacancy/104364907?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Web-разработчик/Веб-программист,SIMAI,40 500 – 100 000 ₽ до вычета налогов,https://ufa.hh.ru/vacancy/97237663?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист,ГАУ ДПО Институт развития образования Республики Башкортостан,36 000 – 36 000 ₽ на руки,https://ufa.hh.ru/vacancy/104469378?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист,SL Soft,Не указана,https://ufa.hh.ru/vacancy/103723035?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист-разработчик 1С Junior,"Софт-Сервис, Группа Компаний",от 50 000 ₽ на руки,https://ufa.hh.ru/vacancy/103276368?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист,ООО Лексема,от 30 000 ₽ на руки,https://ufa.hh.ru/vacancy/103986249?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист,ГБУЗ Республиканская клиническая больница им. Г.Г. Куватова,Не указана,https://ufa.hh.ru/vacancy/99106496?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Разработчик десктопных приложений/Программист С#,ООО ОйлГИС,Не указана,https://ufa.hh.ru/vacancy/103989863?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист,ООО ДИ РоботикС,90 000 – 120 000 ₽ на руки,https://ufa.hh.ru/vacancy/102819279?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист,ГБУЗ РБ Детская поликлиника № 4 г. Уфа,от 30 000 ₽ на руки,https://ufa.hh.ru/vacancy/101220078?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист - верстальщик,ООО Планета,80 000 – 120 000 ₽ на руки,https://ufa.hh.ru/vacancy/104268061?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист (разработчик),Газпром трансгаз Уфа,60 000 – 75 000 ₽ на руки,https://ufa.hh.ru/vacancy/103907330?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Начинающий программист 1С,ООО Облако 365,от 40 000 ₽ до вычета налогов,https://ufa.hh.ru/vacancy/103732248?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист,ООО НИИСТИС,от 60 000 ₽ на руки,https://ufa.hh.ru/vacancy/99152368?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист С++,Тензор,140 000 – 230 000 ₽ до вычета налогов,https://ufa.hh.ru/vacancy/103875827?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист,"ООО ИК ""Сибинтек""",Не указана,https://ufa.hh.ru/vacancy/103650092?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист,ГБУЗ Республиканский Клинический Перинатальный Центр Министерства Здравоохранения РБ,35 000 – 45 000 ₽ на руки,https://ufa.hh.ru/vacancy/100455245?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Ведущий программист,ООО ПромТрансБанк,Не указана,https://ufa.hh.ru/vacancy/103629867?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Ведущий программист / программист 1C,НПФ Пакер,Не указана,https://ufa.hh.ru/vacancy/101603365?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Специалист поддержки пользователей,Яндекс Крауд: Поддержка,от 30 000 ₽ на руки,https://ufa.hh.ru/vacancy/91211314?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист-стажёр 1С,Первый Бит,до 50 000 ₽ до вычета налогов,https://ufa.hh.ru/vacancy/103565872?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Веб-программист разработчик,Lite-Invest,60 000 – 150 000 ₽ на руки,https://ufa.hh.ru/vacancy/104647056?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,Компания КомЛайн,Не указана,https://ufa.hh.ru/vacancy/104463453?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,"Софт-Сервис, Группа Компаний",Не указана,https://ufa.hh.ru/vacancy/91612021?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Разработчик 1С / Программист 1С (Стажер 1С),ООО Производственная Безопасность и Экология,50 000 – 80 000 ₽ до вычета налогов,https://ufa.hh.ru/vacancy/98387995?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,ООО Кубышка-сервис,Не указана,https://ufa.hh.ru/vacancy/103640153?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,ООО Башкирская автомобильная компания (БАШАВТОКОМ),от 150 000 ₽ на руки,https://ufa.hh.ru/vacancy/104441810?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
"Инженер-программист 1 С (БП, ЗУП, УАТ) 8.3",ООО Транстерминал,100 000 – 120 000 ₽ на руки,https://ufa.hh.ru/vacancy/103688195?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Битрикс разработчик,CMstore,от 180 000 ₽ на руки,https://ufa.hh.ru/vacancy/103110352?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
FullStack разработчик (middle),HALIKOV STUDIO,75 000 – 100 000 ₽ до вычета налогов,https://ufa.hh.ru/vacancy/103715487?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист-верстальщик,ООО Планета,80 000 – 120 000 ₽ на руки,https://ufa.hh.ru/vacancy/104322580?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист АСУ ТП (Junior),АО СКАД тех,Не указана,https://ufa.hh.ru/vacancy/103365708?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Flutter разработчик,HALIKOV STUDIO,до 100 000 ₽ до вычета налогов,https://ufa.hh.ru/vacancy/102922313?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Python developer,ООО КОМТЕК,60 000 – 130 000 ₽ на руки,https://ufa.hh.ru/vacancy/102818859?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Старший специалист по системе 1С (программист),Медиа-Холдинг,Не указана,https://ufa.hh.ru/vacancy/104549742?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист группы разработки и внедрения ПО,ООО Системы Нефть и Газ,Не указана,https://ufa.hh.ru/vacancy/93795858?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист АСУ (SCADA),АО СКАД тех,80 000 – 180 000 ₽ на руки,https://ufa.hh.ru/vacancy/103552617?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Flutter-разработчик,ООО Класс - информационные технологии для бизнеса,от 100 000 ₽ до вычета налогов,https://ufa.hh.ru/vacancy/102252493?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист,Башнефть - ПЕТРОТЕСТ,Не указана,https://ufa.hh.ru/vacancy/98519163?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Старший специалист по системе 1С (программист),Медиа-Холдинг,100 000 – 300 000 ₽ на руки,https://ufa.hh.ru/vacancy/103590292?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,ООО ЭКМ Холдинг,Не указана,https://ufa.hh.ru/vacancy/104363327?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1C,ООО НПЦ ВирТЭК,от 120 000 ₽ на руки,https://ufa.hh.ru/vacancy/104365259?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
PHP-developer,ООО Класс - информационные технологии для бизнеса,Не указана,https://ufa.hh.ru/vacancy/103556574?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист АСУ ТП 1 категории,ООО Линксол,от 90 000 ₽ на руки,https://ufa.hh.ru/vacancy/104652645?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист ПЛК,ООО НГП ИНФОРМ,Не указана,https://ufa.hh.ru/vacancy/93469486?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,ООО Планета,60 000 – 80 000 ₽ на руки,https://ufa.hh.ru/vacancy/104322359?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист встраиваемых систем,Алабуга. Проектный менеджмент,240 000 – 450 000 ₽ до вычета налогов,https://ufa.hh.ru/vacancy/101502309?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Golang Middle Developer,ИП Муртазин Рустам Ирекович,Не указана,https://ufa.hh.ru/vacancy/103069335?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Frontend-разработчик (Vue.js),ООО КОМТЕК,Не указана,https://ufa.hh.ru/vacancy/102751517?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист встраиваемых систем,Алабуга. Проектный менеджмент,240 000 – 450 000 ₽ до вычета налогов,https://ufa.hh.ru/vacancy/102480229?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист встраиваемых систем,Алабуга. Проектный менеджмент,240 000 – 450 000 ₽ до вычета налогов,https://ufa.hh.ru/vacancy/102482832?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Python middle разработчик,ООО Технопром,Не указана,https://ufa.hh.ru/vacancy/102895546?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Разработчик на кредитный конвейер  (Junior/Middle),ООО Интеллектуальные Программные Решения,Не указана,https://ufa.hh.ru/vacancy/104617735?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,ООО Планета,Не указана,https://ufa.hh.ru/vacancy/104304456?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист - верстальщик,ООО Планета,80 000 – 120 000 ₽ на руки,https://ufa.hh.ru/vacancy/104282445?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист АСУ ТП,"ООО КСТ ЭНЕРГО Инжиниринг, ОП г. Уфа",Не указана,https://ufa.hh.ru/vacancy/99825024?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист станков с ЧПУ,АО Башнефтегеофизика,от 140 000 ₽ на руки,https://ufa.hh.ru/vacancy/96146337?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
"Инженер-программист (АСУ ТЭК, АСУ ТП)",АО ТЕКОН-Инжиниринг,от 120 000 ₽ до вычета налогов,https://ufa.hh.ru/vacancy/103105858?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Разработчик 1С,АО Компания Уфаойл,75 000 – 100 000 ₽ на руки,https://ufa.hh.ru/vacancy/89177240?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Ведущий инженер-программист АСУ ТП,"ООО КСТ ЭНЕРГО Инжиниринг, ОП г. Уфа",Не указана,https://ufa.hh.ru/vacancy/97786352?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Golang Developer (Уфа),ООО Тагес Джамп,179 500 – 300 000 ₽ на руки,https://ufa.hh.ru/vacancy/104434417?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1C,ООО Планета,60 000 – 80 000 ₽ на руки,https://ufa.hh.ru/vacancy/104305586?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист группы АСУТП (Уфа),ООО Системы Нефть и Газ,Не указана,https://ufa.hh.ru/vacancy/47354365?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист АСУ ТП/ Инженер по разработке SCADA-систем,ООО НГП ИНФОРМ,Не указана,https://ufa.hh.ru/vacancy/91845124?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Ведущий инженер-программист АСУ ТП,АО Форт Диалог,от 120 000 ₽ на руки,https://ufa.hh.ru/vacancy/96063251?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Android разработчик,Т-Банк,Не указана,https://ufa.hh.ru/vacancy/102101222?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Разработчик 1С,IBS,Не указана,https://ufa.hh.ru/vacancy/104424973?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Разработчик MES,Axenix (ранее Accenture),Не указана,https://ufa.hh.ru/vacancy/104346659?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1C,ООО Планета,60 000 – 80 000 ₽ на руки,https://ufa.hh.ru/vacancy/104268060?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Руководитель группы разработки (Team Lead),Т-Банк,Не указана,https://ufa.hh.ru/vacancy/99873419?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Ведущий инженер-программист РСУ и ПАЗ,АО Форт Диалог,от 120 000 ₽ на руки,https://ufa.hh.ru/vacancy/96061371?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист (АСУ ТЭК),ООО ТЕКОН СИБИРЬ,от 100 000 ₽ на руки,https://ufa.hh.ru/vacancy/102590148?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Разработчик Qlik View,ROSTIC'S (ООО Глобал Фуд),Не указана,https://ufa.hh.ru/vacancy/95296436?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Дессинатор Программист вязального оборудования Cixing,Karolinaopt.ru,100 000 – 120 000 ₽ на руки,https://ufa.hh.ru/vacancy/104370853?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-тестировщик АТ (Python),IBS,Не указана,https://ufa.hh.ru/vacancy/104690749?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Дессинатор Программист вязального оборудования Cixing,Karolinaopt.ru,100 000 – 120 000 ₽ на руки,https://ufa.hh.ru/vacancy/104370854?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
IOS разработчик,Т-Банк,Не указана,https://ufa.hh.ru/vacancy/102101230?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Ведущий инженер-программист АСУТП на ПЛК Siemens,"ООО Экситон - автоматика, НПФ",от 120 000 ₽ на руки,https://ufa.hh.ru/vacancy/89892482?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Специалист технической поддержки 1С,ООО Ит-Архитектор,45 000 – 75 000 ₽ на руки,https://ufa.hh.ru/vacancy/104184391?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
